Name,Critic_Score,Critic_Count,User_Score,User_Count
Medal of Honor: Rising Sun (2),65.0,23.0,5.8,28.0
Army of Two (2),74.0,43.0,7.3,118.0
Spore,84.0,75.0,5.3,1715.0
Mario vs. Donkey Kong,81.0,43.0,8.0,31.0
The Legend of Zelda: Tri Force Heroes,73.0,73.0,7.5,182.0
LEGO Star Wars III: The Clone Wars (3),76.0,36.0,7.3,34.0
Midnight Club 3: DUB Edition Remix,85.0,19.0,8.9,55.0
Tom Clancys Ghost Recon: Jungle Storm,70.0,31.0,6.3,24.0
FIFA 14 (4),88.0,22.0,5.8,328.0
Bushido Blade,83.0,13.0,7.9,16.0
Mirrors Edge,79.0,82.0,7.5,333.0
Sonic the Hedgehog (2),43.0,17.0,4.1,177.0
NASCAR Thunder 2002,85.0,17.0,8.5,22.0
Your Shape: Fitness Evolved 2012,77.0,13.0,7.6,21.0
Medal of Honor: Warfighter (2),53.0,43.0,5.4,438.0
Final Fantasy Tactics: The War of the Lions,88.0,41.0,8.0,238.0
Sniper: Ghost Warrior,45.0,39.0,5.8,89.0
Sonic Rush Adventure,78.0,32.0,8.2,66.0
Worldwide Soccer Manager 2009,83.0,29.0,8.1,30.0
Gauntlet: Dark Legacy,73.0,15.0,8.3,30.0
Medal of Honor Heroes 2,69.0,20.0,7.3,30.0
WWE 2K15,62.0,44.0,5.1,164.0
Bad Boys: Miami Takedown,43.0,5.0,3.4,13.0
Football Manager 2013,86.0,37.0,6.8,230.0
FIFA Soccer 10 (4),83.0,9.0,7.9,14.0
Donkey Konga,76.0,55.0,8.1,22.0
Call of Duty 4: Modern Warfare (3),92.0,40.0,8.5,2376.0
Tak and the Power of Juju,68.0,28.0,9.0,28.0
Red Dead Redemption: Undead Nightmare,,,7.5,18.0
Persona 4: Golden,93.0,61.0,9.2,1240.0
Sunset Overdrive,81.0,89.0,7.7,1142.0
Action Bass,51.0,8.0,,
Tenchu: Wrath of Heaven,79.0,33.0,8.4,38.0
Shadow of the Colossus,91.0,77.0,9.1,948.0
Brave Fencer Musashi,81.0,12.0,8.5,17.0
Pokemon Rumble Blast,56.0,36.0,7.1,50.0
Ninja Gaiden Sigma,88.0,46.0,7.5,156.0
WWE 2K14,74.0,22.0,7.5,121.0
007: Quantum of Solace (2),65.0,42.0,6.6,49.0
Dance Dance Revolution Extreme 2,76.0,27.0,9.0,21.0
Dragon Ball: XenoVerse,69.0,50.0,7.7,600.0
The Lord of the Rings: The Return of the King (2),84.0,31.0,9.1,31.0
EA Sports Active: More Workouts,80.0,15.0,,
Hot Shots Golf: Out of Bounds,81.0,66.0,8.8,32.0
Alien: Isolation,79.0,50.0,8.1,800.0
Mobile Suit Gundam: Federation vs. Zeon,73.0,15.0,8.8,32.0
Pikmin 3,87.0,79.0,8.7,666.0
MechAssault,87.0,32.0,8.0,47.0
LEGO City Undercover (2),80.0,66.0,8.2,283.0
Pokken Tournament,76.0,74.0,8.0,276.0
Cars (3),50.0,8.0,4.7,6.0
LEGO Star Wars III: The Clone Wars (4),67.0,25.0,6.1,31.0
Project CARS,83.0,37.0,6.6,367.0
Tom Clancys Rainbow Six 3: Black Arrow,84.0,55.0,8.6,14.0
Rocksmith,80.0,27.0,8.3,52.0
Mirrors Edge (2),79.0,66.0,7.8,366.0
Guitar Hero 5 (2),85.0,69.0,6.8,108.0
Fantasy Life,73.0,51.0,8.6,210.0
SingStar (2),82.0,48.0,5.9,15.0
Supercar Street Challenge,57.0,15.0,7.6,9.0
Rabbids Go Home,78.0,50.0,8.3,32.0
Rocksmith (2),77.0,30.0,8.2,62.0
ModNation Racers,82.0,85.0,8.4,202.0
SOCOM: U.S. Navy SEALs Fireteam Bravo,82.0,44.0,8.6,63.0
Call Of Duty 2: Big Red One (2),78.0,46.0,5.1,27.0
Guitar Hero 5 (3),71.0,4.0,2.6,10.0
Worldwide Soccer Manager 2008,86.0,15.0,8.0,19.0
Yakuza 3,79.0,77.0,8.1,165.0
Spider-Man 2 (2),83.0,60.0,8.3,40.0
Crackdown 2,70.0,91.0,6.0,202.0
The Beatles: Rock Band (3),88.0,60.0,8.7,59.0
Dragon Age II,79.0,75.0,4.5,2382.0
Counter-Strike,74.0,38.0,7.6,51.0
Guitar Hero Encore: Rocks The 80s,69.0,50.0,6.3,31.0
Fight Night Champion,84.0,52.0,7.3,95.0
Rock Band (4),82.0,8.0,6.8,13.0
Tom Clancys Splinter Cell: Chaos Theory,94.0,70.0,9.0,160.0
WWE 2K14 (2),75.0,43.0,7.7,100.0
Dishonored 2,88.0,62.0,7.7,629.0
Castlevania: Lords of Shadow,85.0,62.0,7.9,472.0
Plants vs. Zombies,81.0,23.0,7.4,29.0
NBA Live 2001 (2),74.0,18.0,,
SingStar Legends,76.0,25.0,,
Tales of Symphonia,86.0,60.0,8.5,181.0
Need for Speed: ProStreet (4),61.0,16.0,6.9,14.0
GRID,87.0,39.0,8.1,110.0
Medal of Honor: Airborne (2),73.0,54.0,6.7,77.0
Star Ocean: The Second Story,80.0,13.0,8.5,44.0
Sonic and the Black Knight,54.0,51.0,6.9,199.0
Plants vs. Zombies: Garden Warfare,69.0,6.0,7.3,122.0
NCAA Football 14,77.0,18.0,5.8,74.0
The Legend of Zelda: Twilight Princess HD,86.0,74.0,8.4,340.0
Yakuza 2,77.0,34.0,8.1,52.0
LEGO Star Wars III: The Clone Wars (5),66.0,8.0,,
Guitar Hero 5 (4),86.0,54.0,5.7,87.0
Sonic Free Riders,47.0,52.0,2.1,98.0
Dragon Ball Z: The Legacy of Goku II,75.0,21.0,8.9,39.0
NERF N-Strike,66.0,13.0,4.4,7.0
NFL 2K1,97.0,22.0,6.0,47.0
Untold Legends: Brotherhood of the Blade,68.0,51.0,7.6,58.0
Madden NFL 2004 (2),92.0,27.0,8.3,48.0
The Godfather,75.0,56.0,8.3,99.0
Star Wars: Bounty Hunter,65.0,32.0,8.3,33.0
WWE SmackDown vs. Raw 2011,74.0,42.0,6.9,42.0
NCAA Football 13,76.0,20.0,5.5,65.0
Skate 2,84.0,70.0,7.9,73.0
Empire: Total War,90.0,62.0,6.9,2989.0
NASCAR Thunder 2004,88.0,15.0,8.9,77.0
SpongeBob SquarePants: Revenge of the Flying Dutchman (2),,,6.6,41.0
Namco Museum Battle Collection,73.0,28.0,7.2,9.0
Virtua Fighter 5,85.0,47.0,7.4,67.0
Dantes Inferno,75.0,69.0,7.5,267.0
Tom Clancys Ghost Recon 2 (2),58.0,21.0,6.0,19.0
LEGO Marvel Super Heroes (4),,,6.8,73.0
Star Wars: The Force Unleashed (5),70.0,10.0,8.1,49.0
Dragon Ball Z: Taiketsu,40.0,23.0,6.1,22.0
Star Fox: Assault,67.0,59.0,8.1,106.0
Rayman Legends,90.0,16.0,8.5,530.0
The Simpsons Game (3),59.0,7.0,6.7,15.0
LEGO Star Wars II: The Original Trilogy (3),47.0,9.0,5.0,38.0
FIFA Soccer 11 (4),73.0,17.0,7.3,8.0
Call of Duty 3 (4),82.0,14.0,7.4,83.0
Prince of Persia,85.0,59.0,7.3,246.0
Red Dead Redemption: Undead Nightmare (2),,,7.6,18.0
The Biggest Loser,74.0,5.0,8.1,32.0
WWE SmackDown vs. Raw 2010 (2),,,7.7,31.0
Marvel vs. Capcom 3: Fate of Two Worlds (2),85.0,77.0,7.1,167.0
Tomb Raider: Underworld (2),76.0,57.0,6.6,198.0
DJ Hero,84.0,72.0,8.0,42.0
Pro Evolution Soccer 2008 (4),76.0,29.0,7.8,36.0
Tiger Woods PGA Tour 10,88.0,44.0,8.8,57.0
SoulCalibur III,86.0,57.0,8.4,96.0
MySims Agents,60.0,5.0,,
Lightning Returns: Final Fantasy XIII,66.0,62.0,5.9,556.0
World Tour Soccer,70.0,31.0,5.6,5.0
Naruto: Ultimate Ninja Storm,75.0,32.0,8.6,95.0
Grand Theft Auto: Chinatown Wars (2),90.0,77.0,7.3,146.0
Mortal Kombat: Armageddon,75.0,43.0,8.5,84.0
Freekstyle,81.0,25.0,7.3,14.0
Spore Creatures,65.0,20.0,6.5,21.0
The Orange Box (2),89.0,21.0,8.4,188.0
Bully: Scholarship Edition,80.0,56.0,8.3,156.0
Skylanders Giants (3),77.0,21.0,6.3,18.0
NBA Street V3,89.0,36.0,8.7,37.0
Hulk,71.0,28.0,8.3,22.0
Titanfall 2,89.0,61.0,8.4,769.0
Endless Ocean,72.0,42.0,8.1,61.0
Aliens vs Predator,64.0,64.0,7.3,247.0
Diablo II: Lord of Destruction,87.0,21.0,9.1,645.0
Spider-Man 2 (3),65.0,12.0,7.7,6.0
Seek and Destroy,63.0,9.0,8.8,10.0
Darksiders,83.0,81.0,7.9,293.0
Mercenaries 2: World in Flames,72.0,69.0,7.2,152.0
Warhawk,84.0,50.0,8.4,184.0
DiRT 3,87.0,52.0,7.1,122.0
LEGO The Lord of the Rings (2),82.0,16.0,8.3,85.0
EA Sports UFC,70.0,57.0,6.1,280.0
Sega Superstars Tennis (2),71.0,24.0,6.8,17.0
DiRT,83.0,32.0,8.0,33.0
Call of Duty 4: Modern Warfare (4),75.0,22.0,6.9,36.0
Resident Evil: The Darkside Chronicles,75.0,55.0,8.0,60.0
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,81.0,31.0,9.0,36.0
Dora the Explorer: Dora Saves the Mermaids,44.0,5.0,2.5,4.0
NBA 2K3,89.0,21.0,8.0,22.0
The Simpsons: Road Rage (3),61.0,17.0,8.3,6.0
Dave Mirra Freestyle BMX,82.0,14.0,8.4,5.0
Forza Motorsport,92.0,73.0,7.6,214.0
Virtua Tennis 3,80.0,35.0,7.9,32.0
Monster Rancher 2,83.0,6.0,,
Imagine: Animal Doctor,,,7.4,5.0
MVP Baseball 2003,81.0,22.0,8.9,17.0
Legacy of Kain: Soul Reaver,91.0,17.0,9.0,133.0
WWE SmackDown vs. Raw 2010 (3),80.0,59.0,8.4,36.0
Sleeping Dogs,83.0,40.0,7.7,646.0
ATV: Quad Power Racing,42.0,9.0,,
Naruto: Clash of Ninja 2,74.0,22.0,8.9,39.0
Dance Dance Revolution SuperNOVA,73.0,25.0,8.7,6.0
Aliens vs Predator (2),65.0,57.0,7.3,169.0
F-Zero: Maximum Velocity,86.0,19.0,8.4,23.0
Sonic the Hedgehog (3),46.0,38.0,4.4,458.0
Need for Speed: Most Wanted (5),83.0,32.0,8.8,29.0
The Simpsons Game (4),71.0,52.0,7.7,73.0
F1 2012,81.0,23.0,7.5,55.0
Brink,68.0,85.0,5.8,404.0
MX vs. ATV Unleashed,79.0,30.0,8.4,17.0
Sonic Generations (3),66.0,29.0,6.9,110.0
WipEout Pure,88.0,56.0,7.9,102.0
UFC Undisputed 3,86.0,30.0,7.4,92.0
LEGO Pirates of the Caribbean: The Video Game (2),73.0,54.0,7.0,31.0
Tom Clancys Ghost Recon Advanced Warfighter 2,84.0,29.0,8.1,41.0
Super Princess Peach,75.0,48.0,7.6,33.0
FIFA Soccer 08 (5),65.0,13.0,6.1,26.0
Guinness World Records: The Videogame,67.0,12.0,7.0,8.0
MySims Agents (2),78.0,28.0,8.6,28.0
NCAA March Madness 2004,82.0,16.0,8.8,12.0
LEGO Indiana Jones: The Original Adventures (6),77.0,36.0,7.7,30.0
Tomb Raider (2),86.0,18.0,8.5,3572.0
Street Fighter Alpha 3,93.0,12.0,8.5,46.0
Kirby: Planet Robobot,81.0,71.0,8.7,92.0
MotorStorm: Arctic Edge,79.0,58.0,8.8,39.0
Disney Universe,61.0,11.0,6.0,5.0
Dance on Broadway,48.0,6.0,3.3,4.0
Tiger Woods PGA Tour 08,72.0,24.0,7.0,22.0
Dragon Ball Z: Budokai Tenkaichi 3 (2),72.0,27.0,8.4,61.0
Skylanders SWAP Force (3),83.0,31.0,5.3,33.0
Shrek 2 (2),70.0,25.0,6.7,15.0
Tom Clancys Ghost Recon Advanced Warfighter 2 (2),86.0,58.0,8.1,89.0
Sonic Unleashed (2),54.0,24.0,7.8,132.0
Petz: Catz 2,,,9.0,4.0
LEGO Indiana Jones 2: The Adventure Continues (3),71.0,41.0,7.4,25.0
Bulletstorm,84.0,83.0,7.6,440.0
Madden NFL 07 (3),83.0,27.0,8.7,6.0
Rock Band 2 (3),92.0,10.0,7.7,45.0
Harry Potter and the Prisoner of Azkaban,70.0,29.0,8.8,31.0
Pokemon Conquest,80.0,40.0,8.2,90.0
Wall-E (2),51.0,18.0,3.6,8.0
Naruto: Clash of Ninja Revolution,74.0,23.0,8.0,27.0
Ace Combat 6: Fires of Liberation,80.0,54.0,7.9,101.0
Assassins Creed: Rogue (2),72.0,32.0,7.3,321.0
ZombiU,77.0,70.0,7.7,760.0
The Simpsons Game (5),64.0,19.0,6.1,38.0
Ninja Gaiden II,81.0,74.0,8.0,304.0
Prince of Persia (2),81.0,73.0,7.0,189.0
Monster Rancher,86.0,5.0,8.3,10.0
Ford Racing 2,51.0,5.0,8.0,8.0
NERF N-Strike Elite,67.0,12.0,4.5,6.0
God of War: Ghost of Sparta,86.0,73.0,8.4,256.0
SoulCalibur II (3),92.0,39.0,8.9,54.0
NFL GameDay 2001,73.0,10.0,,
Just Dance 2014 (2),79.0,16.0,7.8,33.0
Rayman Origins,87.0,43.0,8.4,241.0
Dynasty Warriors 3: Xtreme Legends,72.0,16.0,9.3,54.0
EyePet,70.0,35.0,8.2,20.0
NFL Fever 2002,79.0,24.0,8.5,10.0
NCAA Football 12,82.0,25.0,6.6,49.0
Madden NFL 16 (3),,,5.1,12.0
UFC Undisputed 3 (2),85.0,60.0,7.6,88.0
Kirby: Mass Attack,83.0,46.0,8.6,55.0
Haze,55.0,65.0,6.5,296.0
Oddworld: Abes Exoddus,88.0,13.0,9.1,69.0
EA Sports UFC 2,79.0,38.0,6.1,161.0
DiRT 2,87.0,63.0,8.2,95.0
The Bouncer,66.0,20.0,8.0,35.0
Guitar Hero: Aerosmith (3),70.0,39.0,5.0,26.0
Shadow The Hedgehog,51.0,22.0,6.5,121.0
Apollo Justice: Ace Attorney,78.0,48.0,8.1,84.0
Ace Combat X: Skies of Deception,75.0,26.0,8.3,30.0
Disney Infinity (3),75.0,21.0,5.9,47.0
Dark Souls (2),89.0,66.0,8.4,1111.0
Cars: Race-O-Rama,58.0,7.0,,
Puzzler Collection,71.0,5.0,,
NBA 2K16 (3),,,3.0,25.0
Evolve,76.0,46.0,4.3,897.0
Midnight Club: LA Remix,79.0,26.0,8.7,43.0
Pro Evolution Soccer 2008 (5),80.0,17.0,6.8,11.0
NBA 2K10,82.0,46.0,7.6,34.0
Tales of Graces f,77.0,55.0,8.2,336.0
FIFA Soccer 10 (5),75.0,21.0,6.2,17.0
Fallout 3 (3),91.0,48.0,7.9,3479.0
Mario Party Advance,54.0,27.0,5.4,34.0
Zoo Tycoon DS,44.0,19.0,6.6,25.0
Tom Clancys Splinter Cell: Blacklist,82.0,58.0,7.5,384.0
Dead Space 3,78.0,68.0,6.4,697.0
WWE SmackDown vs Raw 2008 (5),59.0,13.0,5.9,18.0
Suikoden III,86.0,23.0,7.7,114.0
LEGO Harry Potter: Years 5-7 (2),77.0,35.0,7.9,39.0
FIFA 17 (3),,,3.0,26.0
Madden NFL 10 (3),,,7.2,6.0
NCAA Football 06 (2),87.0,38.0,8.3,27.0
Grand Theft Auto: San Andreas (3),93.0,47.0,8.9,1864.0
Madden NFL 08 (3),81.0,31.0,5.3,33.0
Fire Emblem,88.0,31.0,9.2,144.0
Tamagotchi Connection: Corner Shop 2,66.0,9.0,,
Brutal Legend,82.0,88.0,8.0,269.0
NHL 2004,85.0,19.0,7.6,53.0
Grand Theft Auto: Vice City Stories (2),75.0,37.0,7.8,69.0
Mario Tennis Open,69.0,58.0,6.9,111.0
Wheel of Fortune (2),,,7.6,5.0
Dead Space 3 (2),76.0,37.0,6.4,525.0
FIFA Soccer 2005 (2),81.0,34.0,8.7,23.0
Mass Effect 3 (3),89.0,23.0,5.5,5946.0
Cars (4),54.0,17.0,2.1,11.0
Band Hero,79.0,20.0,6.6,15.0
Skylanders: Spyros Adventure (2),78.0,35.0,5.2,54.0
LEGO Star Wars II: The Original Trilogy (4),84.0,25.0,9.1,16.0
Medal of Honor: Underground,86.0,16.0,9.0,45.0
Far Cry 3 (3),88.0,43.0,8.2,3212.0
Dark Cloud 2,87.0,41.0,9.1,174.0
The Witcher 2: Assassins of Kings,88.0,76.0,8.5,4408.0
Guitar Hero: Warriors of Rock,77.0,26.0,7.6,18.0
NHL 2001,85.0,22.0,8.1,9.0
Farming Simulator 2013,65.0,12.0,7.5,111.0
de Blo,82.0,48.0,8.6,73.0
Shinobi,71.0,33.0,7.9,43.0
Mortal Kombat: Deadly Alliance (2),81.0,27.0,8.4,24.0
Sniper Elite V2,70.0,21.0,6.9,92.0
ESPN NBA 2K5 (2),85.0,28.0,8.7,22.0
Gangs of London,52.0,47.0,6.7,18.0
PilotWings Resort,71.0,64.0,7.3,89.0
My Weight Loss Coach,63.0,4.0,7.6,7.0
Army of Two: The 40th Day,73.0,79.0,7.3,126.0
World Championship Poker,60.0,8.0,7.7,11.0
Sonic Unleashed (3),60.0,50.0,7.7,240.0
Tom Clancys Splinter Cell: Chaos Theory (2),87.0,29.0,8.6,53.0
SpongeBob SquarePants: Battle for Bikini Bottom (3),71.0,10.0,8.6,34.0
PlayStation All-Stars Battle Royale,74.0,69.0,7.3,542.0
Pro Evolution Soccer 2014,78.0,39.0,4.1,304.0
Yakuza 4,78.0,59.0,8.0,179.0
Tom Clancys Ghost Recon: Future Soldier (2),79.0,18.0,6.9,157.0
Kessen,75.0,20.0,8.4,12.0
Driver: San Francisco,79.0,53.0,7.7,114.0
Dragon Age: Inquisition (2),85.0,28.0,6.9,708.0
Ben 10: Alien Force,,,2.8,4.0
LEGO Jurassic World,70.0,46.0,7.0,80.0
The LEGO Movie Videogame (2),80.0,5.0,6.8,12.0
Star Fox 64 3D,81.0,65.0,8.2,232.0
Lost Planet 2,68.0,56.0,6.9,62.0
LEGO Pirates of the Caribbean: The Video Game (3),73.0,42.0,7.1,34.0
Killzone,70.0,67.0,7.3,257.0
Tom Clancys Splinter Cell: Blacklist (2),84.0,27.0,7.7,314.0
Phantasy Star Portable,64.0,38.0,7.8,19.0
The SpongeBob SquarePants Movie (3),73.0,9.0,7.8,13.0
Skylanders: Spyros Adventure (3),77.0,18.0,4.8,42.0
Castlevania: Lament of Innocence,79.0,45.0,8.4,74.0
Just Cause 3 (2),71.0,24.0,6.9,188.0
The Elder Scrolls Online (3),71.0,64.0,5.7,2429.0
MVP Baseball 2005 (2),86.0,35.0,,
Street Fighter V,77.0,80.0,3.4,1233.0
WWE SmackDown vs. Raw 2009 (2),78.0,37.0,7.0,49.0
NCAA Football 10,83.0,26.0,6.7,37.0
Brutal Legend (2),83.0,61.0,7.6,163.0
Tony Hawk: RIDE,47.0,15.0,4.5,21.0
White Knight Chronicles: International Edition,64.0,77.0,7.5,213.0
Far Cry: Primal (2),77.0,27.0,6.4,199.0
Bully,87.0,69.0,9.1,300.0
Prince of Persia: The Sands of Time (2),92.0,41.0,7.8,72.0
MLB 06: The Show,83.0,30.0,8.9,31.0
NHL 2003,79.0,20.0,6.8,18.0
Naruto Shippuden: Ultimate Ninja Storm 3,77.0,32.0,7.9,189.0
The Sims 2 (2),70.0,13.0,6.1,24.0
Tony Hawks Pro Skater 4 (2),90.0,25.0,8.5,21.0
Brothers in Arms: Hells Highway,76.0,48.0,8.0,70.0
SingStar Abba (2),70.0,26.0,5.5,4.0
Disney Magical World,71.0,27.0,7.3,22.0
Guitar Hero: Metallica,85.0,20.0,8.6,17.0
Guitar Hero Live,80.0,69.0,6.2,161.0
Bayonetta (2),90.0,86.0,8.0,598.0
Teenage Mutant Ninja Turtles (2),71.0,16.0,8.9,9.0
MLB 07: The Show,83.0,25.0,8.6,19.0
Build-A-Bear Workshop,61.0,11.0,4.8,5.0
Borderlands 2 (3),89.0,38.0,8.2,2496.0
Cars (5),71.0,21.0,7.0,5.0
South Park: The Stick of Truth,85.0,31.0,8.5,575.0
Kingdom Hearts Re:coded,66.0,58.0,6.9,77.0
MLB 15: The Show,80.0,44.0,7.8,190.0
Operation Flashpoint: Dragon Rising,77.0,47.0,7.8,112.0
Lego Batman 3: Beyond Gotham,73.0,43.0,7.1,75.0
South Park: The Stick of Truth (2),82.0,33.0,8.4,367.0
Wipeout: In The Zone,39.0,5.0,5.6,8.0
SnoCross Championship Racing,66.0,8.0,,
Assassins Creed III (3),80.0,21.0,6.2,1502.0
Teenage Mutant Ninja Turtles (3),59.0,29.0,8.7,31.0
Top Gun: Combat Zones,63.0,17.0,3.3,9.0
NCAA Football 11,86.0,29.0,7.1,70.0
007: The World is not Enough (2),61.0,11.0,6.7,44.0
Cars (6),65.0,13.0,,
Phoenix Wright: Ace Attorney,81.0,53.0,9.2,203.0
Borderlands: The Handsome Collection,82.0,49.0,7.8,347.0
Harvest Moon 3D: A New Beginning,74.0,21.0,8.2,62.0
LEGO Harry Potter: Years 5-7 (3),76.0,27.0,8.3,48.0
MLB 12: The Show,87.0,23.0,7.5,75.0
Wii Play: Motion,60.0,34.0,6.1,16.0
SpongeBob SquarePants: The Yellow Avenger,48.0,9.0,6.4,13.0
Dantes Inferno (2),73.0,71.0,7.7,225.0
EA Sports Active 2 (2),78.0,20.0,5.4,14.0
WWE SmackDown vs. Raw 2009 (3),79.0,47.0,7.1,34.0
Sonic Riders,59.0,32.0,8.0,46.0
Blue Dragon,79.0,56.0,7.8,161.0
LEGO Marvel Super Heroes (5),61.0,4.0,5.2,11.0
NBA 2K14 (4),86.0,15.0,5.7,183.0
FIFA Street (2),77.0,47.0,6.7,58.0
Kung Fu Panda (3),70.0,20.0,6.7,7.0
Street Hoops,62.0,22.0,7.9,10.0
Knockout Kings 2002,76.0,23.0,8.1,12.0
Tom Clancys EndWar,77.0,63.0,7.2,53.0
Tokyo Xtreme Racer 3,63.0,15.0,8.9,23.0
Xenoblade Chronicles,92.0,59.0,8.9,957.0
Colin McRae Rally 2.0,90.0,13.0,8.7,31.0
Dynasty Warriors 7,57.0,25.0,7.4,58.0
SSX (2),81.0,38.0,6.8,111.0
Namco Museum (3),59.0,7.0,,
Sonic Riders: Zero Gravity,56.0,26.0,8.1,57.0
Dragon Ball: Xenoverse 2,72.0,57.0,7.7,123.0
Sonic Mega Collection Plus (2),75.0,20.0,7.9,12.0
Far Cry 4 (4),,,7.0,110.0
LEGO The Lord of the Rings (3),,,7.2,21.0
Operation Flashpoint: Dragon Rising (2),76.0,42.0,6.5,53.0
Madden NFL 25 (3),74.0,13.0,5.2,118.0
Tiger Woods PGA Tour 2002,80.0,23.0,7.6,5.0
Lost Odyssey,78.0,68.0,8.3,435.0
MLB 2005,78.0,36.0,7.6,9.0
Marvel: Ultimate Alliance 2,73.0,75.0,7.3,83.0
Burnout Revenge,90.0,52.0,8.8,115.0
The Witcher 2: Assassins of Kings (2),88.0,82.0,8.3,818.0
Crysis 3,76.0,45.0,6.7,345.0
Lego Batman 3: Beyond Gotham (2),,,6.8,14.0
Homefront (2),70.0,60.0,5.7,174.0
LEGO Pirates of the Caribbean: The Video Game (4),69.0,5.0,,
MX vs. ATV Reflex,74.0,44.0,7.4,10.0
Hot Shots Tennis,70.0,44.0,8.1,8.0
LEGO Jurassic World (2),,,7.1,14.0
Sonic Heroes (3),73.0,28.0,7.6,34.0
Spider-Man 3,50.0,14.0,6.5,28.0
James Bond 007: Agent Under Fire (2),71.0,16.0,7.5,15.0
Titanfall 2 (2),87.0,31.0,8.0,279.0
DJ Hero (2),86.0,53.0,7.8,50.0
X-Men Legends (2),82.0,63.0,8.5,14.0
NBA Live 2005 (2),85.0,28.0,7.6,14.0
Harry Potter: Quidditch World Cup,68.0,21.0,6.6,27.0
Madagascar (2),71.0,6.0,,
Blitz: The League,76.0,25.0,8.0,20.0
The Biggest Loser: Ultimate Workout,68.0,11.0,,
Castlevania: Circle of the Moon,91.0,22.0,8.5,59.0
SOCOM 4: U.S. Navy SEALs,67.0,64.0,6.3,121.0
Tiger Woods PGA Tour 06,83.0,29.0,6.2,16.0
Classic NES Series: The Legend of Zelda,84.0,16.0,8.6,59.0
TouchMaster 2,76.0,8.0,,
Fire Emblem: The Sacred Stones,85.0,38.0,9.1,132.0
Killzone: Liberation,77.0,56.0,8.2,81.0
LEGO Jurassic World (3),,,7.4,14.0
Resistance: Retribution,81.0,67.0,8.1,84.0
Finding Nemo (3),62.0,11.0,5.5,8.0
Ace Combat 2,83.0,10.0,8.2,22.0
NFL 2K2,85.0,16.0,7.5,6.0
Pure (2),83.0,43.0,7.8,30.0
Call of Duty: World at War (4),75.0,12.0,7.8,20.0
Lego Star Wars: The Force Awakens,78.0,61.0,7.5,91.0
Tiger Woods PGA Tour 12: The Masters,80.0,41.0,7.3,17.0
FIFA Soccer 09 All-Play,80.0,18.0,8.4,22.0
LEGO Indiana Jones 2: The Adventure Continues (4),70.0,25.0,7.1,16.0
Fossil Fighters,70.0,17.0,7.9,15.0
NCAA Football 13 (2),79.0,9.0,4.1,34.0
Samba De Amigo,68.0,43.0,8.1,40.0
The Simpsons Game (6),71.0,30.0,7.4,50.0
Call of Duty: Modern Warfare 2 (3),86.0,40.0,4.2,6441.0
The Tomb Raider Trilogy,78.0,37.0,8.1,61.0
F1 2010 (2),84.0,43.0,7.5,65.0
Call of Juarez: Bound in Blood,78.0,47.0,7.8,91.0
NBA 2K6,84.0,23.0,8.3,13.0
Dissidia 012: Duodecim Final Fantasy,78.0,52.0,8.3,144.0
Monster 4X4: World Circuit,51.0,11.0,7.8,17.0
Resident Evil: Revelations,82.0,78.0,8.5,400.0
Sonic Chronicles: The Dark Brotherhood,74.0,55.0,7.3,81.0
Star Wars: The Force Unleashed (6),61.0,8.0,5.5,18.0
Grand Theft Auto IV (3),90.0,40.0,6.6,2312.0
Rock Band 3,93.0,57.0,8.2,137.0
WWE SmackDown vs. Raw 2011 (2),75.0,49.0,7.6,45.0
ESPN NHL 2K5,86.0,25.0,8.1,18.0
Crimson Skies: High Road to Revenge,88.0,49.0,8.8,45.0
F1 2009,69.0,29.0,7.2,30.0
Madden NFL 08 (4),76.0,29.0,6.8,27.0
Spec Ops: Ranger Elite,48.0,4.0,6.6,16.0
Tom Clancys Ghost Recon: Island Thunder,81.0,33.0,8.8,17.0
Sleeping Dogs (2),80.0,47.0,7.9,469.0
Kingdoms of Amalur: Reckoning,80.0,71.0,7.7,447.0
Kingdom Hearts Re: Chain of Memories,68.0,20.0,7.2,107.0
Phantasy Star Portable 2,69.0,27.0,8.1,35.0
Michael Jackson: The Experience (2),63.0,31.0,6.8,29.0
LittleBigPlanet Karting,73.0,69.0,6.9,159.0
Tony Hawks Project 8,69.0,17.0,7.3,19.0
GRID (2),87.0,62.0,7.9,131.0
DiRT (2),83.0,59.0,7.4,94.0
Red Faction: Guerrilla,85.0,84.0,8.0,239.0
Fight Night Round 2,88.0,37.0,9.0,37.0
Conflict: Desert Storm (2),65.0,14.0,8.1,17.0
Cooking Mama: World Kitchen,62.0,17.0,4.9,12.0
Dragon Quest VIII: Journey of the Cursed King (2),86.0,32.0,9.6,26.0
Triple Play 2002,65.0,17.0,,
Brothers in Arms: Hells Highway (2),76.0,65.0,8.3,149.0
Vagrant Story,92.0,19.0,8.4,131.0
Warriors Orochi,55.0,14.0,8.2,17.0
Crysis 3 (2),77.0,23.0,6.3,288.0
Mercenaries 2: World in Flames (2),72.0,43.0,7.1,73.0
SingStar 90s,73.0,29.0,,
Wizards of Waverly Place,58.0,7.0,,
Xenoblade Chronicles X,84.0,87.0,8.9,1562.0
Ghostbusters: The Video Game,76.0,29.0,8.5,28.0
LEGO Dimensions,80.0,53.0,7.0,67.0
Endless Ocean: Blue World,76.0,42.0,8.5,26.0
